Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name
2025 Nissan Rogue S,New,,"$31,274",Est. $588/mo,Glendale Nissan
2025 BMW X7 xDrive40i,New,,"$97,225","Est. $1,828/mo",BMW of Schererville
2025 Chevrolet Equinox LT,New,,"$29,531",Est. $555/mo,Phillips Chevrolet
2018 Ford F-150 XLT,Used,"46,113 mi.","$25,495",Est. $479/mo,Haggerty Ford
2025 Acura RDX Advance Package,New,,"$56,400","Est. $1,060/mo",McGrath Acura of Downtown Chicago
2024 Ford Bronco Badlands,New,,"$48,995",Est. $921/mo,Murgado Ford of Chicago
2020 BMW X3 xDrive30i,Used,"22,689 mi.","$27,388",Est. $515/mo,The Autobarn Volkswagen of Countryside
2023 Toyota Corolla Cross Hybrid SE,Used,"6,874 mi.","$30,998",Est. $583/mo,CarMax Southwest Freeway
2019 BMW M550 I xDrive,Used,"48,879 mi.","$38,998",Est. $733/mo,CarMax Alliance
2016 Ford Explorer Limited,Used,"65,797 mi.","$18,599",Est. $350/mo,Gerald Honda of Countryside
2024 Ford Bronco Raptor,New,,"$91,613","Est. $1,722/mo",Westfield Ford
2024 Ford F-150 XLT,New,,"$54,614","Est. $1,027/mo",Golf Mill Ford
2025 Toyota RAV4 Hybrid XLE,New,,"$37,324",Est. $702/mo,Continental Toyota
2025 Jeep Grand Cherokee L Laredo,New,,"$43,852",Est. $824/mo,Bettenhausen Chrysler Dodge Jeep RAM
2025 Subaru Crosstrek Sport,New,,"$33,828",Est. $636/mo,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars"
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$76,957","Est. $1,447/mo",Mercedes-Benz of Orland Park
2025 Volvo XC40 B5 Plus Dark Theme,New,,"$47,145",Est. $886/mo,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars"
2025 Nissan Pathfinder SV 4WD,New,,"$37,697",Est. $709/mo,Zeigler Nissan of Orland Park
2025 Nissan Rogue SV,New,,"$33,090",Est. $622/mo,Glendale Nissan
2021 Land Rover Range Rover Premium SWB AWD,Used,"54,194 mi.","$44,995",Est. $846/mo,Autos of Chicago
2024 Ford Bronco Big Bend,New,,"$39,978",Est. $751/mo,Ford of Homewood
2025 Honda Odyssey Elite,New,,"$48,603",Est. $914/mo,Schaumburg Honda Automobiles
2024 Ford Bronco Big Bend,New,,"$45,395",Est. $853/mo,Webb Ford
2025 Nissan Rogue SV,New,,"$33,090",Est. $622/mo,Woodfield Nissan
2025 Nissan Sentra SR,New,,"$29,630",Est. $557/mo,Gerald Nissan of Naperville
2025 Nissan Sentra SV,New,,"$24,550",Est. $461/mo,Gerald Nissan of Naperville
2025 Honda HR-V LX,New,,"$27,025",Est. $508/mo,Honda of Downtown Chicago
2025 BMW X7 xDrive40i,Used,"1,001 mi.","$96,950","Est. $1,822/mo",Perillo BMW
2024 Ford Bronco Black Diamond,New,,"$44,932",Est. $845/mo,Murgado Ford of Chicago
2022 Jeep Grand Cherokee WK Limited,Used,"50,169 mi.","$24,998",Est. $470/mo,CarMax Baton Rouge
2021 Ford F-150 XL,Used,"62,614 mi.","$28,949",Est. $544/mo,Midway Dodge
2025 RAM ProMaster 2500 Tradesman,New,,"$51,535",Est. $969/mo,Sherman Dodge Chrysler Jeep RAM
2015 FIAT 500 Abarth,Used,"37,545 mi.","$14,998",Est. $282/mo,CarMax Augusta
2025 Acura RDX Technology Package,New,,"$49,250",Est. $926/mo,McGrath Acura of Morton Grove
2019 Audi Q3 45 S line Premium Plus,Used,"38,811 mi.","$26,291",Est. $494/mo,Motorcars Express
2025 Land Rover Range Rover P400 SE 7 Seat,New,,"$123,030","Est. $2,313/mo",Jaguar Land Rover Hinsdale
2025 Kia Sportage EX,New,,"$31,235",Est. $587/mo,Ed Napleton Acura Kia
2019 Dodge Charger R/T Scat Pack,Used,"67,074 mi.","$31,488",Est. $592/mo,Napleton Aston Martin Maserati
2025 Audi Q5 45 S line Premium Plus,New,,"$56,725","Est. $1,066/mo",The Audi Exchange
2023 Audi e-tron Premium Plus,Used,"14,468 mi.","$39,980",Est. $751/mo,Audi Hoffman Estates
2025 Nissan Rogue SV,New,,"$33,471",Est. $629/mo,Woodfield Nissan
2023 Dodge Durango R/T Plus AWD,New,,"$55,437","Est. $1,042/mo",South Oak Dodge Chrysler Jeep RAM
2019 Nissan Altima 2.5 SR,Used,"83,692 mi.","$15,990",Est. $301/mo,Car City Inc
2024 Ford Transit-250 Base,New,,"$45,192",Est. $849/mo,Currie Motors Ford of Frankfort
2025 Nissan Sentra SR,New,,"$29,470",Est. $554/mo,Gerald Nissan of Naperville
2025 Lincoln Nautilus Reserve,New,,"$67,250","Est. $1,264/mo",Fair Oaks Lincoln
2025 Lincoln Nautilus Reserve,New,,"$61,575","Est. $1,157/mo",Fair Oaks Lincoln
2024 Ford Transit-150 Base,New,,"$48,930",Est. $920/mo,Haggerty Ford
2025 Nissan Leaf SV PLUS,New,,"$28,861",Est. $542/mo,Berman Nissan of Chicago
2022 Ford Edge SEL,Used,"53,094 mi.","$23,888",Est. $449/mo,Zeigler Ford of North Riverside
2025 Hyundai Elantra SEL,New,,"$27,255",Est. $512/mo,McGrath City Hyundai
2022 Volkswagen Atlas SE,Used,"37,997 mi.","$29,998",Est. $564/mo,CarMax Salt Lake (South Jordan)
2024 Ford Bronco Wildtrak,New,,"$69,735","Est. $1,311/mo",Al Piemonte Ford
2015 Chevrolet Colorado LT,Used,"82,454 mi.","$19,479",Est. $366/mo,Webb Chevy
2016 MINI Countryman,Used,"65,858 mi.","$14,998",Est. $282/mo,CarMax Jacksonville NC
2007 Chevrolet Impala LTZ,Used,"193,186 mi.","$2,995",,Baha Auto Group
2024 Acura RDX Technology Package,New,,"$48,950",Est. $920/mo,Ed Napleton Acura Kia
2018 Nissan Rogue SV,Used,"124,915 mi.","$11,950",Est. $225/mo,Chicago Motor Credit
2024 Ford Transit-250 Base,New,,"$48,683",Est. $915/mo,Packey Webb Ford
2025 Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,New,,"$48,480",Est. $911/mo,Volkswagen of Orland Park
2024 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,"$38,360",Est. $721/mo,Volkswagen of Orland Park
2023 Subaru Crosstrek Limited,Used,"61,307 mi.","$23,500",Est. $442/mo,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars"
2025 Nissan Rogue SV,New,,"$33,829",Est. $636/mo,Glendale Nissan
2025 Hyundai Tucson SE,New,,"$30,491",Est. $573/mo,Patrick Hyundai of Schaumburg
2024 Ford Transit-250 Base,New,,"$54,523","Est. $1,025/mo",Hawk Ford of Carol Stream
2025 INFINITI QX60 AUTOGRAPH,New,,"$66,531","Est. $1,251/mo",INFINITI of Hoffman Estates
2025 Honda HR-V LX,New,,"$28,705",Est. $540/mo,Gerald Honda of Matteson
2025 Nissan Altima SR,New,,"$30,191",Est. $567/mo,Woodfield Nissan
2024 Chevrolet Colorado Trail Boss,New,,"$39,294",Est. $739/mo,Chevrolet of Naperville
2025 Honda CR-V EX,New,,"$35,245",Est. $662/mo,McGrath City Honda
2025 Subaru Crosstrek Premium,New,,"$31,135",Est. $585/mo,Mcgrath Evanston Subaru
2024 Ford Transit-250 Base,New,,"$54,320","Est. $1,021/mo",Al Piemonte Ford
2018 Audi RS 5,Used,"35,588 mi.","$48,998",Est. $921/mo,CarMax Danvers
2024 Honda Accord EX 1.5T,Used,"4,644 mi.","$28,995",Est. $545/mo,Baha Auto Group Inc.
2020 Volkswagen Passat S,Used,"41,786 mi.","$17,998",Est. $338/mo,CarMax Centennial
2024 Cadillac Escalade Luxury,Used,646 mi.,"$86,889","Est. $1,633/mo",Glenview Luxury Imports
2024 Volkswagen Tiguan 2.0T SE R-Line Black 4MOTION,New,,"$33,774",Est. $635/mo,Larry Roesch Volkswagen
2025 Audi Q5 45 S line Premium Plus,New,,"$60,290","Est. $1,133/mo",Audi Westmont
2019 Mercedes-Benz Sprinter 2500 High Roof,Used,"10,429 mi.","$94,888","Est. $1,784/mo",Chicago Auto Place
2025 Acura Integra A-SPEC,New,,"$36,795",Est. $692/mo,McGrath Acura of Westmont
2016 Honda Odyssey EX-L,Used,"86,348 mi.","$18,995",Est. $357/mo,Star Auto Works
2020 Volkswagen Jetta GLI 2.0T S,Used,"55,367 mi.","$18,214",Est. $342/mo,Volkswagen of Palatine
2025 BMW 740 i xDrive,New,,"$113,935","Est. $2,142/mo",BMW of Orland Park
2025 Volkswagen Atlas Cross Sport 2.0T SEL Premium,New,,"$49,980",Est. $939/mo,Castle Volkswagen of Schaumburg
2022 Chevrolet Suburban RST,Used,"50,720 mi.","$57,300","Est. $1,077/mo",Webb Ford
2025 Jeep Grand Cherokee L Limited,New,,"$46,355",Est. $871/mo,South Oak Dodge Chrysler Jeep RAM
2024 Audi Q5 e 55 S line Premium Plus,Used,"3,176 mi.","$50,900",Est. $957/mo,McGrath Arlington Kia
2025 Nissan Rogue Rock Creek,New,,"$36,576",Est. $688/mo,Woodfield Nissan
2022 Toyota Camry SE,Used,"51,826 mi.","$22,128",Est. $416/mo,Phillips Chevrolet
2025 GMC Terrain AWD Elevation,New,,"$32,910",Est. $619/mo,Woody Buick GMC Naperville
2024 Volkswagen Atlas Cross Sport 2.0T SEL Premium,New,,"$45,287",Est. $851/mo,Volkswagen of Downtown Chicago
2025 Chevrolet Trax LT,New,,"$23,985",Est. $451/mo,Napleton Downtown Chevrolet Buick GMC
2024 GMC Yukon XL Denali,New,,"$91,265","Est. $1,715/mo",Napleton Downtown Chevrolet Buick GMC
2020 Jeep Renegade Latitude,Used,"69,552 mi.","$16,998",Est. $319/mo,CarMax Tyler
2025 Hyundai Sonata SEL,New,,"$33,100",Est. $622/mo,McGrath City Hyundai
2025 Jeep Compass Sport,New,,"$27,089",Est. $509/mo,Hawk CDJR
2025 Subaru Crosstrek Wilderness,New,,"$32,319",Est. $607/mo,Subaru Evergreen Park
2023 Ford Bronco Wildtrak,New,,"$65,830","Est. $1,237/mo",Al Piemonte Ford
2020 Honda Fit Sport,Used,"25,543 mi.","$21,998",Est. $413/mo,CarMax Des Moines
2024 Volvo XC90 Recharge Plug-In Hybrid T8 Plus Bright Theme 7 Passenger,Volvo Certified,"8,913 mi.","$61,989","Est. $1,165/mo",Fields Volvo Cars of Northfield
2019 Mercedes-Benz CLA 250 Base,Used,"59,756 mi.","$18,999",Est. $357/mo,Your Choice Auto Sales of Posen
2025 Chevrolet Equinox 1LT,New,,"$30,671",Est. $577/mo,Castle Chevrolet North
2025 Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,New,,"$49,244",Est. $926/mo,Volkswagen of Orland Park
2021 Ford Edge SE,Ford Certified,"40,522 mi.","$19,712",Est. $371/mo,Ford of Homewood
2025 GMC Terrain AWD Elevation,New,,"$33,890",Est. $637/mo,Napleton's Schaumburg Buick GMC
2024 Ford Bronco Big Bend,New,,"$41,000",Est. $771/mo,Sutton Ford
2025 Acura RDX Base,New,,"$52,250",Est. $982/mo,Muller's Woodfield Acura
2024 Audi Q7 55 Premium Plus,Audi Certified,"21,168 mi.","$57,901","Est. $1,088/mo",Audi Naperville
2024 Ford Transit-250 Base,New,,"$52,490",Est. $987/mo,Haggerty Ford
2024 INEOS Grenadier Trialmaster,New,,"$86,350","Est. $1,623/mo",Knauz Ineos Grenadier of Lake Bluff
2022 Chevrolet Blazer 2LT,Chevrolet Certified,"35,740 mi.","$28,449",Est. $535/mo,The Chevrolet Exchange
2019 Jeep Compass Latitude,Used,"110,104 mi.","$15,850",Est. $298/mo,Windy City Motors
2025 GMC HUMMER EV Base,New,,"$117,360","Est. $2,206/mo",Zeigler Buick GMC of Lincolnwood
2025 Volkswagen Atlas Cross Sport 2.0T SEL Premium,New,,"$51,699",Est. $972/mo,City Volkswagen Of Evanston
2019 Tesla Model X Performance,Used,"43,509 mi.","$56,998","Est. $1,071/mo",CarMax Killeen
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology 4MOTION,New,,"$43,591",Est. $819/mo,City Volkswagen Of Evanston
2025 RAM ProMaster 2500 Tradesman,New,,"$53,150",Est. $999/mo,Sherman Dodge Chrysler Jeep RAM
2017 Chevrolet Malibu LS,Used,"11,360 mi.","$18,998",Est. $357/mo,CarMax Dothan
2019 Ford F-150 XL,Used,"88,274 mi.","$26,497",Est. $498/mo,Ettleson Buick GMC
2022 Audi Q5 45 S line Premium Plus,Used,"14,125 mi.","$37,599",Est. $707/mo,Audi Morton Grove
2024 Kia Soul LX,Used,"19,965 mi.","$16,559",Est. $311/mo,Hertz Car Sales Des Plaines
2017 Dodge Durango SXT,Used,"119,033 mi.","$14,995",Est. $282/mo,Omni Auto Sales Inc.
2024 Volkswagen Atlas Cross Sport 2.0T SEL,New,,"$43,742",Est. $822/mo,Larry Roesch Volkswagen
2025 Chevrolet Equinox FWD RS,New,,"$32,537",Est. $612/mo,Castle Chevrolet of Villa Park
2024 Ford Bronco Badlands,New,,"$59,636","Est. $1,121/mo",Tasca Ford Midlothian
2024 Subaru Crosstrek Premium,New,,"$28,800",Est. $541/mo,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars"
2025 Nissan Pathfinder Platinum,New,,"$51,319",Est. $965/mo,Glendale Nissan
2025 Audi Q3 45 S line Premium Plus,New,,"$48,985",Est. $921/mo,The Audi Exchange
2024 Volkswagen Jetta 1.5T Sport,Used,"4,603 mi.","$20,990",Est. $395/mo,Castle Volkswagen of Schaumburg
2025 Chevrolet Trax LT,New,,"$25,235",Est. $474/mo,Garber Chevrolet Highland
2025 Chevrolet Trax LT,New,,"$25,235",Est. $474/mo,Garber Chevrolet Highland
2021 Buick Enclave AWD Premium,Used,"43,068 mi.","$30,675",Est. $577/mo,INFINITI of Hoffman Estates
2025 Buick Encore GX Sport Touring,New,,"$25,000",Est. $470/mo,Woody Buick GMC Naperville
2025 Chevrolet Trax FWD ACTIV,New,,"$26,585",Est. $500/mo,Napleton Downtown Chevrolet Buick GMC
2021 Dodge Durango GT AWD,Used,"39,514 mi.","$32,949",Est. $619/mo,Midway Dodge
2025 Volkswagen Jetta GLI 2.0T Autobahn,New,,"$33,678",Est. $633/mo,City Volkswagen of Chicago
2020 Chevrolet Silverado 1500 Custom,Used,"36,389 mi.","$32,998",Est. $620/mo,CarMax Gainesville
2020 Chevrolet Trax LS,Used,"39,482 mi.","$16,299",Est. $306/mo,Currie Motors Chevrolet
2022 Jeep Wrangler Unlimited 4xe Rubicon,Used,"15,311 mi.","$39,849",Est. $749/mo,Sherman Dodge Chrysler Jeep RAM
2022 Ford Bronco Sport Big Bend,Used,"43,043 mi.","$24,530",Est. $461/mo,Berman Chrysler Dodge Jeep Ram
2024 Lexus NX 250,Used,"14,762 mi.","$38,998",Est. $733/mo,CarMax Sacramento South
2021 Audi Q7 Premium,Used,"10,101 mi.","$39,998",Est. $752/mo,CarMax Oak Lawn
2025 Volkswagen Jetta GLI 2.0T Autobahn,New,,"$34,693",Est. $652/mo,Jennings Chevy / VW
2025 Hyundai Santa Cruz XRT,New,,"$41,553",Est. $781/mo,AutoNation Hyundai O'Hare
2020 Honda Civic EX,Used,"53,713 mi.","$19,955",Est. $375/mo,Grand Subaru
2024 Subaru Crosstrek Limited,New,,"$36,122",Est. $679/mo,Grand Subaru
2018 Volvo XC90 T6 Momentum,Used,"97,591 mi.","$19,989",Est. $376/mo,Fields Volvo Cars of Northfield
2020 BMW X7 xDrive40i,Used,"44,351 mi.","$42,490",Est. $799/mo,Ed Napleton Acura Kia
2024 Cadillac XT5 Premium Luxury,New,,"$53,345","Est. $1,003/mo","Napleton Cadillac of Northbrook, Rolls-Royce Motor Cars Northbrook, Bentley Northbrook"
2025 Jeep Grand Cherokee L Laredo,New,,"$44,796",Est. $842/mo,Bettenhausen Chrysler Dodge Jeep RAM
2025 Nissan Pathfinder SV,New,,"$43,729",Est. $822/mo,Glendale Nissan
2025 Nissan Rogue SV,New,,"$34,880",Est. $656/mo,Glendale Nissan
2024 Porsche Cayenne,Porsche Certified,"4,506 mi.","$88,000","Est. $1,654/mo",The Porsche Exchange
2023 Cadillac Escalade V-Series,Used,"22,336 mi.","$123,900","Est. $2,329/mo",Arnie Bauer Cadillac
2025 Acura RDX Advance Package,New,,"$54,400","Est. $1,023/mo",Advantage Acura of Naperville
2024 Jeep Grand Cherokee Limited X,New,,"$40,936",Est. $769/mo,Marino Chrysler Jeep Dodge RAM
2020 Subaru Ascent Limited 7-Passenger,Used,"10,761 mi.","$28,929",Est. $544/mo,Berman Subaru of Chicago
2018 Honda Civic EX-T,Used,"55,128 mi.","$17,275",Est. $325/mo,McGrath City Hyundai
2021 Mazda CX-9 Carbon Edition,Used,"49,109 mi.","$26,998",Est. $507/mo,CarMax Bristol
2024 Dodge Durango R/T Plus,New,,"$55,200","Est. $1,038/mo",South Chicago Dodge Chrysler Jeep RAM
2023 Hyundai Santa Fe SEL,Used,"35,348 mi.","$24,998",Est. $470/mo,CarMax Warwick
2018 Ford Transit-250 Base,Used,"114,888 mi.","$17,995",Est. $338/mo,Baha Auto Group
2024 Ford Bronco Raptor,New,,"$88,179","Est. $1,657/mo",Roesch Ford
2019 Chevrolet Spark LS,Used,"79,500 mi.","$5,500",Est. $103/mo,Vitaliy
2025 Toyota GR Corolla Premium,New,,"$45,455",Est. $854/mo,Advantage Toyota of River Oaks
2023 Chevrolet Tahoe LT,Chevrolet Certified,"66,012 mi.","$45,977",Est. $864/mo,Sunrise Chevrolet of Glendale Heights
2025 Audi Q5 55 S line Premium Plus,New,,"$62,680","Est. $1,178/mo",The Audi Exchange
2024 Subaru Crosstrek Wilderness,New,,"$34,271",Est. $644/mo,Muller Subaru Volkswagen
2025 Kia Seltos EX,New,,"$37,935",Est. $713/mo,Schaumburg Kia
2024 Ford Bronco Raptor,New,,"$95,995","Est. $1,804/mo",Schaumburg Ford
2024 GMC Yukon XL Denali,Used,693 mi.,"$84,800","Est. $1,594/mo",Arnie Bauer Buick GMC of Matteson
2025 GMC Terrain AWD Elevation,New,,"$33,188",Est. $624/mo,Woody Buick GMC Naperville
2025 BMW X7 M60i,New,,"$126,385","Est. $2,376/mo",Knauz Auto Park
2025 Audi Q5 45 S line Premium Plus,New,,"$58,175","Est. $1,093/mo",Fletcher Jones Audi
2025 Subaru Crosstrek Limited,New,,"$34,081",Est. $641/mo,Berman Subaru of Chicago
2025 Hyundai Sonata SE,New,,"$26,073",Est. $490/mo,McGrath City Hyundai
2021 INFINITI QX50 Luxe,Used,"48,429 mi.","$24,998",Est. $470/mo,CarMax Virginia Beach
2025 Buick Encore GX Preferred,New,,"$27,890",Est. $524/mo,Zeigler Buick GMC of Lincolnwood
2024 Volkswagen Tiguan 2.0T S 4MOTION,New,,"$31,968",Est. $601/mo,City Volkswagen Of Evanston
2022 Jeep Cherokee Limited,Jeep Certified,"41,707 mi.","$25,732",Est. $484/mo,Sherman Dodge Chrysler Jeep RAM
2021 Honda Civic Sport,Used,"41,210 mi.","$21,995",Est. $413/mo,Baha Auto Group Inc.
2016 BMW 328 XI,Used,"73,377 mi.","$15,998",Est. $301/mo,CarMax Serramonte
2025 Audi Q5 40 Premium Plus,New,,"$54,125","Est. $1,017/mo",Audi Morton Grove
2025 Audi Q5 45 S line Premium,New,,"$53,325","Est. $1,002/mo",Audi Morton Grove
2024 Subaru Crosstrek Wilderness,New,,"$34,451",Est. $648/mo,Grand Subaru
2024 Ford Bronco Wildtrak,New,,"$61,699","Est. $1,160/mo",Bredemann Ford
2025 Kia Sportage X-Line,New,,"$34,100",Est. $641/mo,Napleton River Oaks Hyundai Kia
2025 Kia Sportage Hybrid SX-Prestige,New,,"$37,977",Est. $714/mo,Napleton River Oaks Hyundai Kia
2021 Ford Mustang Mach-E Select,Used,"36,365 mi.","$23,414",Est. $440/mo,Volkswagen of Palatine
2020 Land Rover Range Rover Evoque SE,Used,"45,101 mi.","$30,655",Est. $576/mo,Autos of Chicago
2025 Nissan Rogue SV,New,,"$33,829",Est. $636/mo,Glendale Nissan
2023 Nissan Altima S,Used,"10,042 mi.","$22,998",Est. $432/mo,CarMax Tinley Park
2024 Volkswagen Atlas Cross Sport 2.0T SE w/Technology 4MOTION,New,,"$40,892",Est. $769/mo,City Volkswagen of Highland
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$70,501","Est. $1,325/mo",Mercedes-Benz of Hoffman Estates
2025 Acura Integra A-SPEC w/ Technology,New,,"$39,795",Est. $748/mo,Muller's Woodfield Acura
2022 Audi e-tron Sportback S line Premium Plus,Used,"16,063 mi.","$33,272",Est. $625/mo,Old Orchard Nissan
2015 INFINITI QX70 Base,Used,"92,248 mi.","$14,995",Est. $282/mo,Ed Napleton Acura Kia
2001 Lexus ES 300 Base,Used,"85,054 mi.","$7,299",Est. $137/mo,Your Choice Auto Sales of Posen
2023 Hyundai Venue SEL,Used,"10,352 mi.","$20,998",Est. $395/mo,CarMax Omaha
2021 Toyota Corolla Hybrid LE,Used,"46,781 mi.","$21,998",Est. $413/mo,CarMax Killeen
2016 BMW X5 eDrive xDrive40e,Used,"88,135 mi.","$17,888",Est. $336/mo,Chicago Auto Place
2022 Audi e-tron Sportback S line Prestige,Used,"24,187 mi.","$41,888",Est. $787/mo,Chicago Auto Place
2017 Lincoln Continental Reserve,Used,"57,433 mi.","$24,495",Est. $460/mo,Xchange Motors
2020 Porsche 911 Carrera S,Used,"27,775 mi.","$121,994","Est. $2,293/mo",94 Nissan Of South Holland
2021 Tesla Model Y Long Range Dual Motor All-Wheel Drive,Used,"73,419 mi.","$26,896",Est. $506/mo,Star Motor Sales
2016 Cadillac CT6 3.6L Luxury,Used,"70,565 mi.","$21,000",Est. $395/mo,Napleton's River Oaks Chrysler Jeep Dodge RAM
2025 RAM ProMaster 1500 Base,New,,"$44,736",Est. $841/mo,DuPage CDJR
2023 Volvo V90 Cross Country B6,Volvo Certified,"44,344 mi.","$43,900",Est. $825/mo,Volvo Cars Lisle
2003 Nissan 350Z Touring,Used,"31,478 mi.","$17,995",Est. $338/mo,Auto Showcase of Carol Stream
2025 Subaru Legacy Limited,New,,"$33,447",Est. $629/mo,Muller Subaru Volkswagen
2024 Honda Prologue Touring,New,,"$56,550","Est. $1,063/mo",Honda of Lisle
2021 Tesla Model Y Long Range,Used,"35,174 mi.","$27,995",Est. $526/mo,Affinity Auto Sales
2013 MINI Coupe Cooper S,Used,"12,083 mi.","$13,900",Est. $261/mo,Exotic Motors
2015 Porsche 918 Spyder Weissach Package PTS Grey Black! Extremely RARE 1 of 1 Spec!,Used,"12,800 mi.","$2,499,800","Est. $46,988/mo",Chicago Motor Cars
2019 Mercedes-Benz Maybach S 650 Maybach 4Matic! V12! Burmester Sound! Night Vision! Loaded!,Used,"8,172 mi.",Not Priced,,Chicago Motor Cars
2025 Mercedes-Benz AMG GT 55 C,New,,"$165,880","Est. $3,118/mo",Mercedes-Benz of Hoffman Estates
2025 Acura RDX Base,New,,"$52,250",Est. $982/mo,McGrath Acura of Downtown Chicago
2012 Chrysler 200 Touring,Used,"117,588 mi.","$9,850",Est. $185/mo,Windy City Motors
2024 Jeep Compass Sport,Used,"7,477 mi.","$23,994",Est. $451/mo,Marino Chrysler Jeep Dodge RAM
2024 Hyundai Tucson Plug-In Hybrid Limited,Used,"20,893 mi.","$36,998",Est. $695/mo,CarMax College Station
2019 Hyundai Kona SE,Used,"56,950 mi.","$15,998",Est. $301/mo,CarMax Gainesville Georgia
2025 Chevrolet Corvette E-Ray,New,,"$128,025","Est. $2,406/mo",Jennings Chevy / VW
2025 Acura Integra A-Spec Technology,New,,"$39,795",Est. $748/mo,McGrath Acura of Morton Grove
2011 Audi A4 2.0T Premium quattro,Used,"99,855 mi.","$5,999",Est. $113/mo,Your Choice Auto Sales of Posen
2025 Acura Integra A-SPEC w/ Technology,New,,"$39,195",Est. $737/mo,McGrath Acura of Westmont
2024 Toyota RAV4 Hybrid XLE,Used,"13,451 mi.","$34,438",Est. $647/mo,Advantage Toyota of River Oaks
2025 Genesis GV70 3.5T Sport,New,,"$70,939","Est. $1,333/mo",Genesis of Downers Grove
2023 Chevrolet Malibu FWD RS,Chevrolet Certified,"10,278 mi.","$21,459",Est. $403/mo,Castle Chevrolet North
2023 Chevrolet Equinox RS,Chevrolet Certified,"20,653 mi.","$27,319",Est. $513/mo,Phillips Chevrolet of Lansing
2002 Mercedes-Benz SL-Class Silver Arrow,Used,"27,600 mi.","$35,995",Est. $677/mo,D&M Motorsports
2025 Audi Q5 45 S line Premium,New,,"$54,000","Est. $1,015/mo",The Audi Exchange
2025 Audi Q3 45 S line Premium Plus,New,,"$49,200",Est. $925/mo,The Audi Exchange
2025 Honda Civic Sport,New,,"$29,845",Est. $561/mo,Bosak Honda
2016 Nissan Rogue S,Used,"88,490 mi.","$10,995",Est. $207/mo,Auto Select
2023 Cadillac Escalade Sport Platinum,Used,"42,436 mi.","$84,425","Est. $1,587/mo",Arnie Bauer Buick GMC of Matteson
2022 Toyota Tacoma SR,Used,"17,000 mi.","$33,269",Est. $625/mo,Phillips Chevrolet
2013 Audi S5 3.0T Prestige,Used,"93,721 mi.","$11,995",Est. $225/mo,Lake Motor Group LLC
2018 Hyundai Santa Fe Sport 2.4L,Used,"108,537 mi.","$9,988",Est. $188/mo,Napleton Mazda of Naperville
2015 BMW 428 i xDrive,Used,"91,924 mi.","$17,850",Est. $336/mo,Windy City Motors
2022 Audi Q7 Premium Plus,Used,"56,656 mi.","$33,000",Est. $620/mo,South Chicago Dodge Chrysler Jeep RAM
2025 Buick Encore GX Avenir,New,,"$36,670",Est. $689/mo,Zeigler Buick GMC of Lincolnwood
2023 BMW X5 sDrive40i,Used,"17,500 mi.","$55,998","Est. $1,053/mo",CarMax Corpus Christi
2022 Subaru Ascent Onyx Edition 7-Passenger,Used,"37,886 mi.","$30,366",Est. $571/mo,Mcgrath Evanston Subaru
2025 Mercedes-Benz Sprinter 3500XD Cargo 170 WB,New,,"$81,011","Est. $1,523/mo",Loeber Motors Mercedes-Benz
2025 Nissan Rogue SV,New,,"$35,065",Est. $659/mo,Al Piemonte Nissan
2010 Hyundai Sonata GLS,Used,"207,986 mi.","$3,300",,Capital Auto Finance
2021 Jeep Wrangler Unlimited 4xe Unlimited Sahara,Used,"16,202 mi.","$37,998",Est. $714/mo,CarMax Amarillo
2025 Audi Q5 55 S line Premium,New,,"$62,680","Est. $1,178/mo",Audi Morton Grove
2025 Toyota RAV4 Hybrid SE,New,,"$46,429",Est. $873/mo,Continental Toyota
2024 Volkswagen Atlas Cross Sport 2.0T SE w/Technology 4MOTION,New,,"$38,765",Est. $729/mo,Larry Roesch Volkswagen
2024 Ford Bronco Wildtrak,New,,"$61,199","Est. $1,150/mo",Bredemann Ford
2025 MINI Hardtop Cooper S,New,,"$39,380",Est. $740/mo,MINI of Glencoe North Shore
2025 MINI Hardtop Cooper S,New,,"$37,380",Est. $703/mo,MINI of Glencoe North Shore
2025 Honda Odyssey Sport-L,New,,"$44,920",Est. $844/mo,Community Honda of Orland Park
2025 Volkswagen Atlas 2.0T Peak Edition,New,,"$46,576",Est. $875/mo,Castle Volkswagen of Schaumburg
2025 Genesis G70 3.3T Sport Advanced,New,,"$54,620","Est. $1,027/mo",Genesis of Schaumburg
2025 Honda Civic Sport,New,,"$27,700",Est. $521/mo,Bosak Honda
2025 Jeep Grand Cherokee L Altitude,New,,"$44,935",Est. $845/mo,Zeigler Chrysler Dodge Jeep Ram of Schaumburg
2025 Nissan Kicks SR,New,,"$30,954",Est. $582/mo,Woodfield Nissan
2022 Land Rover Range Rover HSE Westminster,Used,"45,921 mi.","$52,489",Est. $987/mo,Maserati of Naperville
